title,url,preview,image_url,date,category,page_number,date_range
[HOAKS] Pengadilan Internasional Menetapkan Penangkapan Jokowi,https://turnbackhoax.id/articles/27330--hoaks-pengadilan-internasional-menetapkan-penangkapan-jokowi,KOMPAS.com - Pengadilan Internasional atau International Court of Justice...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,10/06/2025,Uncategorized,33,June 2025
[HOAKS] Tautan Pendaftaran Diskon Listrik PLN 50...,https://turnbackhoax.id/articles/27328--hoaks-tautan-pendaftaran-diskon-listrik-pln-50-persen-selama-3-bulan,KOMPAS.com - Di media sosial beredar tautan yang diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,10/06/2025,Uncategorized,33,June 2025
[HOAKS] Aktor Jaja Miharja Meninggal pada 5...,https://turnbackhoax.id/articles/27327--hoaks-aktor-jaja-miharja-meninggal-pada-5-juni-2025,KOMPAS.com - Aktor senior Jaja Miharja sempat dilarikan ke...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,10/06/2025,Uncategorized,33,June 2025
[HOAKS] Video Pengukuhan Jokowi sebagai Ketua PKI,https://turnbackhoax.id/articles/27326--hoaks-video-pengukuhan-jokowi-sebagai-ketua-pki,KOMPAS.com - Di media sosial beredar unggahan video dengan...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,10/06/2025,Uncategorized,33,June 2025
Cek Fakta: Tidak Benar dalam Video Ini...,https://turnbackhoax.id/articles/27325-cek-fakta-tidak-benar-dalam-video-ini-jusuf-hamka-promosi-situs-judi-online,"Liputan6.com, Jakarta - Beredar di media sosial postingan video...",https://cdn0-production-images-kly.akamaized.net/FT-uoJrqFd1KL4-yuDP3By1hz0Y=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5248352/original/078887500_1749605543-cek_fakta_video_jusuf_hamka.jpg,11/06/2025,Uncategorized,33,June 2025
CEK FAKTA: Hoaks! Pembuatan SIM Gratis pada...,https://turnbackhoax.id/articles/27324-cek-fakta-hoaks-pembuatan-sim-gratis-pada-2025---times-indonesia,"TIMESINDONESIA, JAKARTA – Sebuah video yang mengklaim Polisi memberikan...",https://cdn-1.timesmedia.co.id/images/2025/06/10/cek-fakta-4.jpg,10/06/2025,Uncategorized,33,June 2025
Cek Fakta: Hoaks Kabar Seorang Pria Jadi...,https://turnbackhoax.id/articles/27345-cek-fakta-hoaks-kabar-seorang-pria-jadi-korban-begal-di-subang-pada-3-juni-2025,"Liputan6.com, Jakarta - Kabar tentang seorang pria menjadi korban...",https://cdn0-production-images-kly.akamaized.net/PRPMQZG377rfk9jj6XffkP4dF6Q=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5250110/original/090891400_1749708230-KorbanBegal.jpg,12/06/2025,Uncategorized,32,June 2025
Cek Fakta: Tidak Benar Foto yang Diklaim...,https://turnbackhoax.id/articles/27344-cek-fakta-tidak-benar-foto-yang-diklaim-pembakaran-alat-berat-di-raja-ampat,"Liputan6.com, Jakarta - Sebuah foto yang diklaim pembakaran sejumlah...",https://cdn0-production-images-kly.akamaized.net/rNWnN-odwp_YaN-0KF_dAJ4WZbo=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5249832/original/003880900_1749699284-AlatBerat.jpg,12/06/2025,Uncategorized,32,June 2025
Hoaks! Tautan token listrik gratis sebesar Rp250.000,https://turnbackhoax.id/articles/27341-hoaks-tautan-token-listrik-gratis-sebesar-rp250-000,Jakarta (ANTARA/JACX) – Sebuah unggahan Facebook bernama Peduli Listrik...,https://img.antaranews.com/cache/730x487/2025/06/11/WhatsApp-Image-2025-06-11-at-23.02.30.jpeg,12/06/2025,Uncategorized,32,June 2025
[HOAKS] Hasto Kristiyanto Divonis 7 Tahun Penjara...,https://turnbackhoax.id/articles/27340--hoaks-hasto-kristiyanto-divonis-7-tahun-penjara-pada-10-juni-2025,KOMPAS.com - Sekretaris Jenderal (Sekjen) PDI-P Hasto Kristiyanto diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,32,June 2025
[HOAKS] Tautan untuk Cek Penerima Bantuan Subsidi...,https://turnbackhoax.id/articles/27339--hoaks-tautan-untuk-cek-penerima-bantuan-subsidi-upah-2025,KOMPAS.com - Di media sosial beredar tautan yang diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,32,June 2025
[HOAKS] Tautan untuk Mengeklaim Token Listrik Gratis...,https://turnbackhoax.id/articles/27338--hoaks-tautan-untuk-mengeklaim-token-listrik-gratis-juni-2025,KOMPAS.com - PLN diklaim membagikan token listrik gratis sebesar...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,32,June 2025
[HOAKS] Foto Ronaldo Berlatar Kabah dan Mengenakan...,https://turnbackhoax.id/articles/27337--hoaks-foto-ronaldo-berlatar-kabah-dan-mengenakan-pakaian-ihram,KOMPAS.com - Di media sosial muncul unggahan yang menampilkan...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,32,June 2025
[KLARIFIKASI] Video WNA Marah dengan Pertambangan di...,https://turnbackhoax.id/articles/27336--klarifikasi-video-wna-marah-dengan-pertambangan-di-raja-ampat-dibuat-dengan-ai,KOMPAS.com - Sebuah video menampilkan seorang pria kulit putih...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,32,June 2025
Cek Fakta: Tidak Benar Link Ini Pendaftaran...,https://turnbackhoax.id/articles/27335-cek-fakta-tidak-benar-link-ini-pendaftaran-rekrutmen-skk-migas-dan-pertonas-indonesia,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapai klaim link pendaftaran...",https://cdn1-production-images-kly.akamaized.net/j1PSnSMStnB7LFq2yiEsR_Q1EAM=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5249389/original/026812700_1749636743-rekrutmen_skk_migas_pertonas.jpg,11/06/2025,Uncategorized,32,June 2025
