title,url,preview,image_url,date,category,page_number,date_range
[SALAH] Prabowo Setuju Berhentikan Program Makan Bergizi...,https://turnbackhoax.id/articles/29544--salah-prabowo-setuju-berhentikan-program-makan-bergizi-gratis-mbg-,Akun X “areacakung” pada Sabtu (27/9/2025) membagikan foto [arsip]...,https://yudistira.turnbackhoax.id/uploads/2025/10/IMG_0629.jpeg,15/10/2025,Politik,24,October 2025
Cek Fakta: Video Sri Mulyani Diperiksa Bareskrim...,https://turnbackhoax.id/articles/29546-cek-fakta-video-sri-mulyani-diperiksa-bareskrim-polri-ini-terjadi-pada-2015,"Liputan6.com, Jakarta - Beredar postingan klaim video mantan Menteri...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,14/10/2025,Uncategorized,24,October 2025
Cek Fakta: Tidak Benar Ini Tautan Pendaftaran...,https://turnbackhoax.id/articles/29545-cek-fakta-tidak-benar-ini-tautan-pendaftaran-magang-kemnaker-2025,"Liputan6.com, Jakarta - Beredar di media sosial postingan klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,14/10/2025,Uncategorized,24,October 2025
"[SALAH] Video ""Detik-detik Ngeri Ambruknya Bangunan Ponpes...",https://turnbackhoax.id/articles/29543--salah-video-detik-detik-ngeri-ambruknya-bangunan-ponpes-al-khoziny-,"Pada Rabu (30/9/2025), beredar sebuah video (arsip cadangan) di...",https://yudistira.turnbackhoax.id/uploads/2025/10/AI-Al-Khoziny-HEADER.png,14/10/2025,Uncategorized,24,October 2025
[SALAH] Prabowo Resmi Pecat Kluivert dan Erick...,https://turnbackhoax.id/articles/29538--salah-prabowo-resmi-pecat-kluivert-dan-erick-thohir,Beredar video [arsip] dari akun tiktok “Ari Saputro” pada...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Light-Background-16-678x381.png,14/10/2025,Politik,25,October 2025
[SALAH] Penemuan Meteor Jatuh di Majalengka,https://turnbackhoax.id/articles/29537--salah-penemuan-meteor-jatuh-di-majalengka,Beredar video [arsip] dari akun tiktok “njnnn.123” pada Kamis...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Light-Background-14-678x381.png,14/10/2025,Unique,25,October 2025
[PENIPUAN] Tautan “Pendaftaran Kartu Prakerja dan Insentif...,https://turnbackhoax.id/articles/29535--penipuan-tautan-pendaftaran-kartu-prakerja-dan-insentif-jutaan-rupiah-,Pada Selasa (30/9/2025) akun Facebook “seputar terupdate prakerja” membagikan...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Dark-Background-5-678x381.png,14/10/2025,Donation,25,October 2025
Apa Benar Prabowo Beri Token Listrik Gratis...,https://turnbackhoax.id/articles/29542-apa-benar-prabowo-beri-token-listrik-gratis-pada-oktober-2025-,"tirto.id - Sepanjang Oktober ini, di jagat maya berseliweran...",https://mmc.tirto.id/image/otf/970x0/2025/10/14/header-periksa-fakta---apa-benar-prabowo-beri-token-listrik-gratis-pada-oktober-2025__ratio-16x9.jpg,14/10/2025,Uncategorized,25,October 2025
Tidak Benar Perbandingan Harga LPG Indonesia dan...,https://turnbackhoax.id/articles/29541-tidak-benar-perbandingan-harga-lpg-indonesia-dan-negara-lain,tirto.id - Produk gas untuk kebutuhan rumah alias Liquefied...,https://mmc.tirto.id/image/otf/970x0/2025/10/13/header-periksa-fakta---lpg-di-indonesia-lebih-mahal-dibanding-lpg-di-malysia-dan-as_ratio-16x9.jpg,14/10/2025,Uncategorized,25,October 2025
Keliru: Ustaz Adi Hidayat Mempromosikan Obat Nyeri...,https://turnbackhoax.id/articles/29540-keliru-ustaz-adi-hidayat-mempromosikan-obat-nyeri-sendi,SEBUAH video memperlihatkan Ustaz Adi Hidayat mempromosikan obat nyeri...,https://statik.tempo.co/data/2025/10/14/id_1434762/1434762_720.jpg,14/10/2025,Uncategorized,25,October 2025
Menyesatkan: Jus Detoks Membersihkan Bakteri dalam Tubuh,https://turnbackhoax.id/articles/29539-menyesatkan-jus-detoks-membersihkan-bakteri-dalam-tubuh,SEBUAH konten beredar di Facebook [arsip] yang mengklaim jus...,https://statik.tempo.co/data/2025/10/14/id_1434747/1434747_720.jpg,14/10/2025,Uncategorized,25,October 2025
[SALAH] Indonesia Hanya Kirim 12 Atlet ke...,https://turnbackhoax.id/articles/29534--salah-indonesia-hanya-kirim-12-atlet-ke-sea-games-2025,Beredar gambar [arsip] dari akun Threads “sobatjajankuliner” pada Rabu...,https://yudistira.turnbackhoax.id/uploads/2025/10/2.-Header-Sea-Game-678x381.png,14/10/2025,Uncategorized,25,October 2025
[PENIPUAN] Menteri Keuangan Purbaya Umumkan Layanan Pinjaman...,https://turnbackhoax.id/articles/29533--penipuan-menteri-keuangan-purbaya-umumkan-layanan-pinjaman-online-koperasi-merah-putih,Beredar video [arsip] dari akun Instagram “ruangpengusaha.or.id” pada Kamis...,https://yudistira.turnbackhoax.id/uploads/2025/10/3.-Header-Purbaya-678x381.png,14/10/2025,Uncategorized,25,October 2025
Cek Fakta: Tidak Benar Bansos Langsung Cair...,https://turnbackhoax.id/articles/29536-cek-fakta-tidak-benar-bansos-langsung-cair-lewat-ponsel-dengan-daftar-lewat-link-ini,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim link pendaftaran...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,14/10/2025,Uncategorized,25,October 2025
[PENIPUAN] Tautan “Pendaftaran Bantuan Tunai untuk Pemilik...,https://turnbackhoax.id/articles/29528--penipuan-tautan-pendaftaran-bantuan-tunai-untuk-pemilik-gas-lpg-3-kg-,Akun Facebook “Berita terbaru 2025” pada Selasa (30/9/2025) membagikan...,https://yudistira.turnbackhoax.id/uploads/2025/10/IMG_0626.jpeg,14/10/2025,Donation,26,October 2025
[PENIPUAN] Video “Ashanty Bagi-Bagi Uang”,https://turnbackhoax.id/articles/29527--penipuan-video-ashanty-bagi-bagi-uang-,Akun Facebook “Ashanty Berbagi Rezeki” pada Rabu (24/9/2025) mengunggah...,https://yudistira.turnbackhoax.id/uploads/2025/10/IMG_0624.jpeg,14/10/2025,Giveaway,26,October 2025
Cek Fakta: Tidak Benar Link Pendaftaran Bansos...,https://turnbackhoax.id/articles/29532-cek-fakta-tidak-benar-link-pendaftaran-bansos-ktp-senilai-rp-7-juta,"Liputan6.com, Jakarta - Beredar postingan di media sosial klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,13/10/2025,Uncategorized,26,October 2025
Keliru: Pernyataan Presiden Uganda soal Hukuman bagi...,https://turnbackhoax.id/articles/29531-keliru-pernyataan-presiden-uganda-soal-hukuman-bagi-pasangan-sejenis,PRESIDEN Uganda Yoweri Museveni diklaim mengeluarkan pernyataan kontroversial soal...,https://statik.tempo.co/data/2025/10/13/id_1434614/1434614_720.jpg,13/10/2025,Uncategorized,26,October 2025
Keliru: Polisi Melarang Warga Isi BBM Jika...,https://turnbackhoax.id/articles/29530-keliru-polisi-melarang-warga-isi-bbm-jika-stnk-mati,SEBUAH video beredar di TikTok [arsip] dan Instagram dengan...,https://statik.tempo.co/data/2025/10/13/id_1434608/1434608_720.jpg,13/10/2025,Uncategorized,26,October 2025
CEK FAKTA: Video Harimau Ganggu Petani di...,https://turnbackhoax.id/articles/29529-cek-fakta-video-harimau-ganggu-petani-di-sukabumi-adalah-hoaks,SUKABUMIUPDATE.com - Media sosial beberapa waktu yang lalu dihebohkan...,https://media.sukabumiupdate.com/media/2025/10/13/1760354032_68ecdef0a0dbe_g4vcW81zQWJ402a9JdZj.webp,13/02/2026,Uncategorized,26,October 2025
[PENIPUAN] Prabowo Beri Bantuan Token Listrik pada...,https://turnbackhoax.id/articles/29517--penipuan-prabowo-beri-bantuan-token-listrik-pada-bulan-oktober-2025,Akun Tiktok “pln-__id” pada Senin (2/10/2025) mengunggah video [arsip]...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Light-Background-37-678x381.png,13/10/2025,Donation,26,October 2025
[SALAH] Megawati ke Menkeu Purbaya: Jangan Merasa...,https://turnbackhoax.id/articles/29515--salah-megawati-ke-menkeu-purbaya-jangan-merasa-lebih-pintar-dari-semua-pejabat,Akun Facebook “Hari Joss” pada Selasa (7/10/2025) membagikan video...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Dark-Background-69-678x381.png,13/10/2025,Politik,26,October 2025
[SALAH] Prabowo Panggil Megawati sebagai Saksi Kasus...,https://turnbackhoax.id/articles/29514--salah-prabowo-panggil-megawati-sebagai-saksi-kasus-korupsi-indosat,Akun Facebook “Hari Joss” pada Rabu (3/9/2025) membagikan video...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Dark-Background-68-678x381.png,13/10/2025,Politik,26,October 2025
[PENIPUAN] Video “Menkeu Purbaya Promosikan Platform Investasi”,https://turnbackhoax.id/articles/29513--penipuan-video-menkeu-purbaya-promosikan-platform-investasi-,"Akun Facebook “News24” pada Rabu (1/10/2025) mengunggah video [arsip],...",https://yudistira.turnbackhoax.id/uploads/2025/10/image-41-1024x576.png,13/10/2025,Bisnis,26,October 2025
